origen,destino,tiempo,estado,costo
T1,A,24,true,3200
T1,B,23,true,3200
T1,C,56,true,3200
A,T1,24,true,3200
B,T1,59,true,3200
C,T1,39,true,3200
C,T2,56,true,3200
T2,C,56,true,3200
T2,D,53,true,3200
T2,E,50,true,3200
T2,F,33,true,3200
D,T2,37,true,3200
E,T2,50,true,3200
F,T2,47,true,3200
F,T3,33,true,3200
T3,F,47,true,3200
T3,G,31,true,3200
T3,H,29,true,3200
T3,I,38,true,3200
G,T3,44,true,3200
H,T3,41,true,3200
I,T3,27,true,3200
I,T4,27,true,3200
T4,I,27,true,3200
T4,J,35,true,3200
T4,K,14,true,3200
T4,L,21,true,3200
J,T4,15,true,3200
K,T4,14,true,3200
L,T4,13,true,3200
L,T5,13,true,3200
T5,L,29,true,3200
T5,M,26,true,3200
T5,N,11,true,3200
T5,O,15,true,3200
M,T5,19,true,3200
N,T5,17,true,3200
O,T5,10,true,3200
A,B,6,true,3200
A,C,7,true,3200
B,A,7,true,3200
B,C,6,true,3200
C,A,11,true,3200
C,B,7,true,3200
D,E,8,true,3200
D,F,11,true,3200
E,D,8,true,3200
E,F,6,true,3200
F,D,11,true,3200
F,E,8,true,3200
G,H,7,true,3200
G,I,11,true,3200
H,G,7,true,3200
H,I,8,true,3200
I,G,11,true,3200
I,H,6,true,3200
J,K,7,true,3200
J,L,7,true,3200
K,J,6,true,3200
K,L,8,true,3200
L,J,9,true,3200
L,K,7,true,3200
M,N,6,true,3200
M,O,11,true,3200
N,M,7,true,3200
N,O,6,true,3200
O,M,7,true,3200
O,N,7,true,3200
