origen,destino,tiempo,estado,costo
T1,A,43,true,3200
T1,B,41,true,3200
T1,C,39,true,3200
A,T1,24,true,3200
B,T1,23,true,3200
C,T1,56,true,3200
C,T2,22,true,3200
T2,C,22,true,3200
T2,D,21,true,3200
T2,E,50,true,3200
T2,F,19,true,3200
D,T2,37,true,3200
E,T2,35,true,3200
F,T2,47,true,3200
F,T3,33,true,3200
T3,F,33,true,3200
T3,G,31,true,3200
T3,H,17,true,3200
T3,I,38,true,3200
G,T3,44,true,3200
H,T3,17,true,3200
I,T3,16,true,3200
I,T4,16,true,3200
T4,I,16,true,3200
T4,J,25,true,3200
T4,K,14,true,3200
T4,L,29,true,3200
J,T4,25,true,3200
K,T4,32,true,3200
L,T4,13,true,3200
L,T5,29,true,3200
T5,L,13,true,3200
T5,M,26,true,3200
T5,N,11,true,3200
T5,O,15,true,3200
M,T5,12,true,3200
N,T5,23,true,3200
O,T5,15,true,3200
A,B,7,true,3200
A,C,11,true,3200
B,A,7,true,3200
B,C,6,true,3200
C,A,9,true,3200
C,B,6,true,3200
D,E,6,true,3200
D,F,9,true,3200
E,D,6,true,3200
E,F,7,true,3200
F,D,7,true,3200
F,E,6,true,3200
G,H,6,true,3200
G,I,11,true,3200
H,G,7,true,3200
H,I,6,true,3200
I,G,7,true,3200
I,H,8,true,3200
J,K,7,true,3200
J,L,9,true,3200
K,J,6,true,3200
K,L,7,true,3200
L,J,7,true,3200
L,K,7,true,3200
M,N,6,true,3200
M,O,9,true,3200
N,M,6,true,3200
N,O,7,true,3200
O,M,9,true,3200
O,N,7,true,3200
